,LicenseNo,Inspection_Results
636,5393,1
637,13291,1
638,6338,3
639,8782,1
640,26444,1
641,33537,1
642,1851,3
643,36258,1
644,24225,3
645,17837,1
646,9826,3
647,7541,3
648,7916,4
649,37197,4
650,4170,1
651,2691,1
652,5748,1
653,12929,1
654,6929,1
655,10973,1
656,21632,4
657,22722,1
658,8985,1
659,7762,2
660,34589,1
661,15144,1
662,24748,3
663,34080,1
664,13077,1
665,31654,3
666,21413,1
667,18284,2
668,24957,4
669,30372,1
670,20702,4
671,34081,1
672,21009,2
673,34146,1
674,12365,4
675,15333,4
676,2275,1
677,6528,1
678,14112,1
679,12325,1
680,29950,1
681,15276,1
682,931,1
683,13193,3
684,12664,1
685,31138,3
686,17266,2
687,7425,1
688,20571,1
689,22536,3
690,33909,2
691,13861,1
692,23971,1
693,25684,4
694,37237,1
695,6694,2
696,20769,1
697,4541,1
698,16489,1
699,21658,1
700,2677,3
701,21733,1
702,7232,1
703,7375,3
704,12067,1
705,895,3
706,24522,2
707,19207,1
708,18900,2
709,16752,1
710,3657,3
711,21120,2
712,34457,3
713,13523,1
714,6852,3
715,36031,1
716,3241,3
717,28931,3
718,7960,4
719,32651,1
720,33176,3
721,13067,2
722,3923,4
723,8868,3
724,4431,4
725,36590,1
726,13111,1
727,7269,4
728,12472,1
729,14517,2
730,13618,3
731,36957,1
732,26696,2
733,16471,4
734,34445,1
735,12933,1
736,5092,1
737,7567,1
738,6602,2
739,14672,1
740,10152,4
741,3522,1
742,14894,3
743,5180,1
744,20887,2
745,15796,1
746,21115,1
747,18733,3
748,1461,3
749,10920,3
750,6500,2
751,21657,1
752,30450,1
753,23055,3
754,18032,1
755,34743,1
756,19154,4
757,36555,1
758,16035,1
759,2215,2
760,35281,1
761,21405,1
762,240,3
763,8436,2
764,13030,4
765,20128,3
766,1791,2
767,35394,2
768,12423,2
769,1570,2
770,0,1
771,2128,2
772,1982,4
773,3413,4
774,14548,1
775,19153,1
776,24438,2
777,17037,1
778,9228,1
779,26341,1
780,11975,2
781,10506,1
782,18997,3
783,18517,2
784,8484,1
785,27035,1
786,23986,1
787,4234,1
788,23616,1
789,31246,3
790,27700,4
791,19052,1
792,26730,1
793,8296,1
794,14548,3
795,6963,1
796,27511,1
797,1414,1
798,16228,2
799,2255,2
800,16690,4
801,3408,4
802,34518,1
803,34584,1
804,34067,1
805,10923,1
806,16176,1
807,22148,3
808,14582,1
809,18669,3
810,11453,1
811,19990,1
812,19044,2
813,18479,1
814,10497,1
815,14657,1
816,17445,1
817,18309,1
818,34203,3
819,11482,1
820,24098,1
821,6470,1
822,17494,1
823,33581,2
824,14337,1
825,27007,3
826,28971,1
827,2394,1
828,20391,1
829,4491,4
830,5180,2
831,25554,1
832,1942,1
833,34958,2
834,7329,1
835,35200,4
836,18655,2
837,19742,1
838,33679,1
839,26124,4
840,13735,3
841,17172,2
842,12499,1
843,19964,1
844,2638,2
845,26649,1
846,14598,2
847,14612,1
848,3763,2
849,16176,1
850,9869,2
851,5683,4
852,36642,3
853,13412,1
854,8916,1
855,36605,1
856,9181,1
857,10785,1
858,4202,3
859,16549,2
860,14208,1
861,28454,1
862,4634,1
863,10082,4
864,10800,1
865,25597,4
866,34590,4
867,25241,3
868,36998,5
869,12827,1
870,31077,1
871,1820,1
872,18509,3
873,18396,1
874,24060,1
875,1202,2
876,13204,4
877,27787,2
878,32666,3
879,11048,4
880,9619,3
881,14934,1
882,34009,1
883,34562,3
884,16715,1
885,11380,3
886,16837,4
887,4247,1
888,18197,1
889,5642,1
890,28562,1
891,22429,2
892,34449,1
893,26648,1
894,34063,1
895,36460,3
896,11710,3
897,26120,1
898,1903,1
899,14809,1
900,35365,1
901,33055,3
902,12357,3
903,14086,2
904,1770,2
905,10337,2
906,17506,1
907,18433,1
908,1548,1
909,18468,2
910,29384,2
911,4205,3
912,33701,4
913,29296,1
914,36915,1
915,27381,2
916,32827,6
917,13934,1
918,35335,3
919,35190,1
920,9624,1
921,950,1
922,12422,4
923,30570,4
924,34585,4
925,5463,1
926,32724,3
927,16412,3
928,34183,1
929,19474,1
930,8149,1
931,24259,3
932,10774,2
933,2481,2
934,3976,1
935,17153,1
936,14712,1
937,1118,1
938,17123,1
939,24021,2
940,25121,1
941,5746,3
942,7989,1
943,30397,3
944,23062,1
945,34025,1
946,404,3
947,9089,1
948,13903,1
949,7119,1
950,18681,1
951,7368,2
952,9134,1
953,36932,1
954,22083,1
955,57,1
956,29020,1
957,24789,1
958,23047,1
959,26585,2
960,34345,1
961,2117,1
962,6948,2
963,19791,1
964,34886,1
965,9792,1
966,16600,5
967,11316,1
968,7185,3
969,25375,4
970,8744,1
971,15221,1
972,8976,3
973,11905,1
974,26784,3
975,29585,1
976,21233,1
977,5104,1
978,2601,1
979,34956,1
980,20681,4
981,20444,1
982,23850,1
983,355,1
984,35786,3
985,27492,3
986,21924,5
987,21986,1
988,17813,3
989,8194,1
990,36785,1
991,9181,5
992,33588,1
993,6818,3
994,7258,2
995,22173,1
996,27036,1
997,7361,4
998,30347,2
999,25656,1
1000,25732,2
1001,2105,4
1002,30684,3
1003,36696,1
1004,15618,1
1005,10210,1
1006,16956,3
1007,11834,1
1008,3574,2
1009,33555,1
1010,28657,1
1011,8797,3
1012,10817,1
1013,14835,4
1014,585,1
1015,5052,1
1016,21649,1
1017,28865,2
1018,3338,1
1019,27056,3
1020,28362,1
1021,2603,1
1022,17845,4
1023,16683,1
1024,15422,1
1025,36492,3
1026,19410,3
1027,12997,1
1028,17352,3
1029,23071,1
1030,35042,1
1031,27421,4
1032,23431,1
1033,36028,1
1034,865,1
1035,35297,2
1036,19646,4
1037,25229,1
1038,9940,1
1039,3063,3
1040,23590,4
1041,26744,5
1042,504,4
1043,5300,3
1044,15334,2
1045,1798,1
1046,151,2
1047,18498,3
1048,4061,1
1049,34368,1
1050,10460,2
1051,33490,3
1052,19913,1
1053,3276,4
1054,7314,1
1055,26519,3
1056,21635,1
1057,22414,3
1058,18530,3
1059,35475,1
1060,34371,2
1061,22163,1
1062,29437,3
1063,21505,1
1064,1465,1
1065,34587,1
1066,2869,1
1067,7286,1
1068,25758,1
1069,7271,3
1070,5425,2
1071,838,3
1072,5421,1
1073,27588,3
1074,25333,1
1075,8745,1
1076,17479,1
1077,25116,1
1078,9597,2
1079,18624,2
1080,16721,2
1081,26776,1
1082,1490,1
1083,28125,1
1084,1996,3
1085,5914,3
1086,3800,1
1087,4333,4
1088,3448,4
1089,34572,1
1090,33522,2
1091,19065,1
1092,21232,1
1093,15524,5
1094,15255,2
1095,11106,2
1096,21409,3
1097,19579,1
1098,12284,1
1099,2066,1
1100,16446,1
1101,13976,4
1102,19580,1
1103,1389,1
1104,18683,1
1105,2444,1
1106,14011,3
1107,25288,1
1108,12798,1
1109,14389,1
1110,21320,1
1111,10922,2
1112,5219,3
1113,10873,1
1114,18977,1
1115,21017,3
1116,16709,1
1117,34451,2
1118,16581,1
1119,3575,4
1120,25387,4
1121,6698,1
1122,23816,2
1123,26728,2
1124,7286,3
1125,9746,1
1126,34420,4
1127,5944,1
1128,22181,2
1129,32759,1
1130,23188,1
1131,20234,1
1132,22431,1
1133,24503,2
1134,17109,1
1135,16231,1
1136,22794,1
1137,5581,4
1138,9050,1
1139,32886,3
1140,34148,1
1141,6501,4
1142,28092,2
1143,19963,1
1144,7326,1
1145,10788,1
1146,15948,1
1147,18912,3
1148,16330,1
1149,2349,1
1150,8983,3
1151,8401,1
1152,15560,1
1153,3355,1
1154,12997,1
1155,17489,1
1156,2443,2
1157,19588,2
1158,1933,3
1159,3818,1
1160,17673,1
1161,7349,1
1162,22600,4
1163,13075,1
1164,9255,3
1165,4600,1
1166,15383,1
1167,35111,1
1168,3018,1
1169,8920,4
1170,11369,3
1171,33602,2
1172,13573,2
1173,17466,2
1174,33508,3
1175,20230,1
1176,33423,1
1177,16512,1
1178,1804,1
1179,24003,1
1180,33434,2
1181,20435,1
1182,10066,2
1183,1559,1
1184,15833,1
1185,9545,1
1186,28020,2
1187,27027,1
1188,20346,1
1189,719,1
1190,772,1
1191,30714,4
1192,18565,4
1193,20439,2
1194,18027,1
1195,26901,1
1196,35253,1
1197,17832,1
1198,13921,1
1199,5666,3
1200,5808,2
1201,1241,1
1202,1045,2
1203,17938,2
1204,35596,1
1205,23102,3
1206,22009,1
1207,6031,2
1208,37394,1
1209,7913,2
1210,23027,2
1211,23748,2
1212,7275,1
1213,5726,3
1214,32219,6
1215,32218,1
1216,11942,1
1217,30061,3
1218,12847,2
1219,34532,4
1220,19281,3
1221,20736,2
1222,15417,4
1223,19004,1
1224,8049,1
1225,10215,2
1226,19715,1
1227,36889,2
1228,3292,4
1229,5517,1
1230,32970,2
1231,19102,1
1232,3666,1
1233,21756,2
1234,15978,1
1235,21178,3
1236,4386,1
1237,15183,1
1238,4954,4
1239,35310,1
1240,29558,1
1241,29713,2
1242,5000,1
1243,10050,1
1244,18078,1
1245,37114,1
1246,36752,1
1247,8959,3
1248,10130,1
1249,23848,2
1250,9674,1
1251,34545,1
1252,9851,1
1253,8538,2
1254,36115,1
1255,22869,1
1256,23870,1
1257,6695,3
1258,36925,3
1259,20911,4
1260,976,4
1261,29102,3
1262,1210,1
1263,13900,1
1264,8547,2
1265,22121,1
1266,16311,2
1267,1579,1
1268,23066,1
1269,18507,1
1270,1977,1
1271,16854,1
1272,24625,3
1273,16675,2
1274,16362,2
1275,19339,3
1276,13810,4
1277,26145,3
1278,11133,3
1279,36649,2
1280,1605,1
1281,34148,1
1282,16951,4
1283,6928,4
1284,19589,2
1285,540,1
1286,22100,1
1287,19017,1
1288,30634,1
1289,23161,3
1290,14100,3
1291,3687,1
1292,21422,2
1293,4063,4
1294,2531,3
1295,33743,1
1296,15542,1
1297,32362,1
1298,26748,3
1299,23681,1
1300,27029,2
1301,1701,1
1302,2227,2
1303,16199,1
1304,9157,1
1305,31444,3
1306,3820,3
1307,36163,3
1308,16628,1
1309,24934,2
1310,4210,1
1311,1055,1
1312,9369,3
1313,16905,1
1314,36023,1
1315,35643,2
1316,3258,1
1317,13687,1
1318,2265,3
1319,19393,2
1320,27575,3
1321,36425,1
1322,31859,2
1323,10240,3
1324,31833,6
1325,5177,1
1326,12928,1
1327,36372,1
1328,33795,1
1329,18468,2
1330,29738,1
1331,785,1
1332,11631,1
1333,35293,1
1334,16460,1
1335,24044,1
1336,10177,3
1337,3143,1
1338,25472,2
1339,744,2
1340,860,3
1341,8475,1
1342,23127,2
1343,4658,1
1344,17531,1
1345,28785,1
1346,3655,1
1347,36499,2
1348,26296,1
1349,1561,1
1350,23086,1
1351,14994,1
1352,5494,1
1353,2025,1
1354,34177,3
1355,9745,1
1356,33537,1
1357,9329,1
1358,23651,1
1359,7896,3
1360,29129,1
1361,12416,1
1362,10276,1
1363,2117,1
1364,13724,1
1365,35567,1
1366,34132,4
1367,31584,2
1368,29114,2
1369,28636,2
1370,18636,1
1371,6165,1
1372,20585,3
1373,27977,4
1374,13760,3
1375,34397,1
1376,21564,1
1377,8101,1
1378,31122,3
1379,17529,1
1380,18263,1
1381,22390,1
1382,8043,2
1383,35596,1
1384,10264,3
1385,7445,1
1386,13646,3
1387,11006,1
1388,2141,1
1389,17277,5
1390,5582,1
1391,6637,1
1392,36099,3
1393,12397,4
1394,22419,1
1395,22293,1
1396,24695,3
1397,5680,1
1398,4386,2
1399,24150,1
1400,602,1
1401,6772,1
1402,22615,2
1403,34093,4
1404,34781,3
1405,28141,1
1406,27237,1
1407,36015,1
1408,35160,3
1409,10581,3
1410,17167,2
1411,22409,1
1412,7878,1
1413,2760,1
1414,33556,1
1415,12813,3
1416,5316,1
1417,19242,2
1418,9148,1
1419,15829,1
1420,29281,1
1421,8481,1
1422,30391,1
1423,27480,3
1424,18137,2
1425,8435,1
1426,16389,3
1427,17412,1
1428,1217,1
1429,34228,3
1430,10364,2
1431,14472,1
1432,3522,3
1433,12611,3
1434,3544,4
1435,19004,1
1436,20300,2
1437,20938,1
1438,27817,1
1439,33794,1
1440,13443,1
1441,34401,4
1442,33624,1
1443,21076,3
1444,18454,4
1445,2589,1
1446,36099,3
1447,33570,3
1448,24741,1
1449,8758,1
1450,13009,3
1451,24949,4
1452,25710,2
1453,9542,1
1454,34682,2
1455,21762,1
1456,25560,3
1457,33645,1
1458,30210,1
1459,15451,1
1460,36115,3
1461,7227,1
1462,2260,2
1463,4437,1
1464,11068,2
1465,4159,2
1466,36105,1
1467,34697,2
1468,7661,3
1469,8538,1
1470,29156,2
1471,36268,1
1472,23322,1
1473,22121,1
1474,6787,1
1475,6249,1
1476,21152,1
1477,19088,1
1478,21376,3
1479,23132,1
1480,34627,1
1481,21016,3
1482,32517,1
1483,35469,1
1484,21693,1
1485,5873,1
1486,35001,1
1487,34879,3
1488,4256,1
1489,36245,1
1490,14915,1
1491,13812,1
1492,5459,3
1493,19802,1
1494,8848,1
1495,13938,3
1496,17545,2
1497,10959,1
1498,12438,3
1499,15654,1
1500,4635,1
1501,13042,1
1502,2086,3
1503,9225,4
1504,24174,1
1505,23128,1
1506,34681,1
1507,32749,1
1508,3701,1
1509,33966,1
1510,5653,1
1511,20330,3
1512,16652,1
1513,19409,1
1514,31696,3
1515,35103,5
1516,32515,2
1517,26037,2
1518,5825,1
1519,14729,1
1520,34874,3
1521,16488,1
1522,7240,2
1523,1276,1
1524,28219,1
1525,31630,2
1526,22977,1
1527,30555,2
1528,33599,3
1529,30960,4
1530,14227,2
1531,3732,3
1532,34175,1
1533,9798,1
1534,16661,1
1535,10435,1
1536,4966,4
1537,503,1
1538,7094,1
1539,16289,1
1540,5092,1
1541,14354,2
1542,6501,1
1543,25814,1
1544,12813,2
1545,14009,2
1546,7502,1
1547,21075,1
1548,33115,3
1549,6139,1
1550,14491,3
1551,12828,1
1552,10212,3
1553,13547,1
1554,15567,1
1555,29684,3
1556,25415,1
1557,8517,1
1558,34235,1
1559,13219,1
1560,15929,1
1561,36525,4
1562,24277,1
1563,37159,1
1564,5783,3
1565,26820,2
1566,1500,3
1567,13432,2
1568,19009,4
1569,27488,1
1570,6326,4
1571,11814,1
1572,28115,3
1573,21818,2
1574,22961,2
1575,5008,1
1576,26589,4
1577,29638,2
1578,13932,1
1579,36502,3
1580,36438,2
1581,12335,1
1582,25915,1
1583,27594,1
1584,12305,1
1585,18857,1
1586,33646,2
1587,1241,3
1588,3473,1
1589,15316,1
1590,20814,1
1591,3844,2
1592,14793,1
1593,13782,1
1594,3306,1
1595,1428,3
1596,123,1
1597,18399,2
1598,5175,1
1599,10906,2
1600,21330,2
1601,15251,1
1602,12989,1
1603,2847,1
1604,35305,2
1605,17394,1
1606,15573,1
1607,16694,4
1608,17389,1
1609,6544,2
1610,22528,2
1611,7905,4
1612,27633,1
1613,10387,1
1614,33759,1
1615,35832,3
1616,21353,1
1617,19832,1
1618,16224,1
1619,21745,1
1620,30104,2
1621,18700,1
1622,3284,1
1623,33691,1
1624,9132,1
1625,9587,1
1626,11722,1
1627,28617,1
1628,15541,1
1629,17788,1
1630,3365,4
1631,18032,4
1632,13047,1
1633,124,1
1634,25093,1
1635,28318,1
1636,7326,1
1637,35533,4
1638,29149,1
1639,20742,1
1640,744,1
1641,1812,1
1642,27216,3
1643,10170,1
1644,37369,1
1645,35350,3
1646,20669,1
1647,35517,1
1648,17187,1
1649,12118,1
1650,19725,1
1651,8824,1
1652,36726,1
1653,2838,1
1654,11156,1
1655,11294,1
1656,19059,1
1657,30607,1
1658,34098,4
1659,12464,2
1660,23254,3
1661,10365,2
1662,12191,1
1663,36471,2
1664,13089,1
1665,13535,1
1666,21303,1
1667,21865,1
1668,10865,1
1669,27475,3
1670,8066,1
1671,10956,2
1672,34137,3
1673,5494,1
1674,36783,3
1675,34743,3
1676,33699,4
1677,37132,1
1678,2505,1
1679,27422,1
1680,15096,4
1681,1699,1
1682,915,1
1683,34712,2
1684,17818,1
1685,22041,2
1686,9155,1
1687,13786,1
1688,21298,1
1689,5523,1
1690,27437,1
1691,16142,2
1692,12164,1
1693,798,1
1694,35333,1
1695,22774,2
1696,9987,1
1697,34887,1
1698,34590,3
1699,16800,1
1700,22706,1
1701,35527,1
1702,36146,2
1703,8566,2
1704,29828,1
1705,16488,1
1706,22110,1
1707,33506,1
1708,19685,2
1709,14683,1
1710,6824,1
1711,33843,1
1712,22400,1
1713,3100,2
1714,21891,1
1715,9139,1
1716,21409,1
1717,36504,3
1718,15813,1
1719,14242,1
1720,8431,4
1721,23833,1
1722,14730,4
1723,23187,1
1724,19318,1
1725,392,1
1726,28562,1
1727,11984,1
1728,2145,1
1729,8247,1
1730,1670,1
1731,12976,2
1732,27855,3
1733,13069,1
1734,36127,2
1735,35765,4
1736,21695,1
1737,21429,1
1738,36632,1
1739,21826,1
1740,16981,1
1741,29635,1
1742,32335,1
1743,17066,3
1744,12880,1
1745,33577,3
1746,36606,3
1747,13113,1
1748,6648,1
1749,17877,1
1750,21340,3
1751,35058,1
1752,33959,1
1753,6260,1
1754,3292,4
1755,20340,3
1756,26447,1
1757,10506,1
1758,29110,1
1759,3268,1
1760,33679,1
1761,9155,1
1762,22264,2
1763,26237,3
1764,22701,1
1765,11085,3
1766,21223,3
1767,6887,3
1768,6842,1
1769,25997,1
1770,28081,1
1771,9622,2
1772,19320,3
1773,24039,1
1774,1850,2
1775,11673,1
1776,13602,1
1777,19417,1
1778,9508,2
1779,20284,3
1780,20280,1
1781,30803,1
1782,9951,1
1783,10974,1
1784,30936,1
1785,33501,1
1786,22007,1
1787,10377,1
1788,34878,1
1789,24597,1
1790,2317,1
1791,21143,1
1792,36883,3
1793,33685,1
1794,12155,4
1795,35082,1
1796,34090,3
1797,30904,1
1798,24652,2
1799,20416,3
1800,8954,1
1801,8452,1
1802,10954,1
1803,35532,1
1804,9524,1
1805,37364,1
1806,15721,1
1807,28800,1
1808,8841,3
1809,31888,1
1810,36620,1
1811,19933,1
1812,6694,1
1813,6007,1
1814,3163,3
1815,22816,1
1816,22884,2
1817,13532,4
1818,34035,1
1819,23873,1
1820,9937,2
1821,17788,1
1822,9714,1
1823,3653,3
1824,36494,1
1825,21829,1
1826,17279,1
1827,22525,2
1828,37314,1
1829,22225,1
1830,8127,3
1831,18556,1
1832,12123,2
1833,2746,3
1834,36282,2
1835,10097,1
1836,22696,3
1837,16029,4
1838,1177,3
1839,14682,1
1840,6598,1
1841,7752,1
1842,21330,1
1843,7988,1
1844,18034,2
1845,12500,2
1846,35546,1
1847,13488,2
1848,36229,3
1849,11915,1
1850,14877,3
1851,18603,1
1852,17322,1
1853,35264,1
1854,16516,1
1855,0,1
1856,35273,1
1857,15198,1
1858,5972,1
1859,1540,1
1860,30385,1
1861,9629,1
1862,18762,1
1863,22452,1
1864,34797,1
1865,37036,3
1866,11905,1
1867,3868,4
1868,27274,3
1869,6628,2
1870,12678,1
1871,23021,2
1872,35169,1
1873,7446,1
1874,3708,1
1875,35862,1
1876,36317,1
1877,25795,1
